,Unnamed: 0,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
22,22,5108,948.2803955078124,1066.0858154296877,1237.07383578203,948.2803955078124,1066.0858154296877,0,947.9210815429688,16.553548177083332,Recorded: BS,948.6510009765624,1061.3631591796877,948.2803955078124,1066.0858154296877,932.4675958806821,1066.3392223011363,4.651743791716593,0.7421725346914322,-156.8143538267368,137.79107423682345,20912.00842481221,0
23,23,5109,949.4000854492188,1059.7000732421877,1146.7998235831255,949.4000854492188,1059.7000732421877,0,948.3934936523438,17.571370442708183,Recorded: BS,947.872802734375,1064.1870524088542,949.4000854492188,1059.7000732421877,935.822149103338,1065.6301380504262,6.4831634909281455,1.122112011113793,158.83185755376473,103.31148858757015,30780.84655042468,0
24,24,5110,953.527587890625,1058.7999267578123,1251.338872895867,953.527587890625,1058.7999267578123,0,950.4026896158853,18.471394856770758,Recorded: BS,948.8659057617188,1061.4108072916667,953.527587890625,1058.7999267578123,939.5519298206676,1064.8392223011363,4.2245165518846335,2.2015704317191847,-40.971981676222036,87.3028526662634,31347.274641325675,0
25,25,5111,950.34521484375,1057.939208984375,1396.7244487249266,950.34521484375,1057.939208984375,0,951.0909627278647,21.186930338541668,Recorded: BS,952.411885579427,1060.6285807291667,950.34521484375,1057.939208984375,942.992403897372,1063.970059481534,3.2967155314020764,2.8014019399990917,51.64734170220848,82.32115018793246,28758.529088010488,0
26,26,5112,957.5283813476562,1058.15087890625,1150.6415036492979,957.5283813476562,1058.15087890625,0,953.8003946940103,21.70332845052091,Recorded: BS,951.7792358398441,1056.0975341796873,957.5283813476562,1058.15087890625,947.0858931107956,1063.1201393821023,7.186284518349332,2.7582038701348672,-64.98671329087503,47.57314703920304,29379.457526147213,0
27,27,5113,946.5,1056.0,2438.0,946.5,1056.0,0,951.4578653971353,22.636637369791668,Recorded: BS,956.5098266601559,1057.7802734375002,946.5,1056.0,948.5858931107956,1061.756503018466,11.23616817330016,2.521608424301448,147.48596490722778,82.50358910173263,96675.29194362245,0
28,28,5114,959.6118774414062,1053.3045654296877,1177.0665996016105,959.6118774414062,1053.3045654296877,0,954.5467529296876,24.181518554687425,Recorded: BS,949.1153361002603,1056.4300537109373,959.6118774414062,1053.3045654296877,950.4142456054688,1060.3296453302555,13.38606355734552,3.4536768905330817,-131.70516589863445,48.224274861969604,120467.31654738744,0
29,29,5115,952.3715209960938,1053.7613525390623,1701.5050465848615,952.3715209960938,1053.7613525390623,0,952.8277994791665,25.644694010416668,Recorded: BS,957.6356404622397,1054.2736002604167,952.3715209960938,1053.7613525390623,951.0430131392044,1059.2599431818182,7.254751265099957,2.257362039927771,113.02398547972297,50.827568985642,120878.20988933965,0
30,30,5116,963.3361206054688,1051.6966552734377,1045.1639335605068,963.3361206054688,1051.6966552734377,0,958.4398396809897,27.07914225260409,Recorded: BS,951.1088460286458,1052.892130533854,963.3361206054688,1051.6966552734377,952.3985484730114,1058.1538196910512,11.157303410438642,5.792463809674998,-125.25759829054306,30.895322387839883,146545.8434061517,0
31,31,5117,957.0526733398438,1056.22216796875,1919.1566698423705,957.0526733398438,1056.22216796875,0,957.5867716471353,26.106608072916668,Recorded: BS,964.0518798828126,1051.4864095052085,957.0526733398438,1056.22216796875,953.2230779474432,1057.56005859375,7.743511780537619,1.2936567554976155,-145.59387107699393,50.3424854170331,155786.09662117134,0
